Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE75462985668329,Wed Feb 05 16:33:04 CET 2020,2779.33,EUR,Quo possimus id corrupti quod doloribus.
Jos,BE69771770897312,BE24169395515301,Fri Feb 07 00:16:24 CET 2020,4756.34,EUR,Repellendus et temporibus quae consectetur.
Jos,BE69771770897312,BE80927035700001,Thu Feb 13 15:28:22 CET 2020,687.76,EUR,Sit odio reprehenderit consequatur et.
Jos,BE69771770897312,BE21976966938876,Sat Feb 22 01:13:26 CET 2020,-4362.9,EUR,Sapiente optio exercitationem consectetur.
Jos,BE69771770897312,BE62848069795698,Sat Feb 22 22:25:41 CET 2020,3388.51,EUR,Quaerat quia necessitatibus ut voluptates et asperiores corporis.
Jos,BE69771770897312,BE63643805004159,Mon Feb 10 03:19:48 CET 2020,-908.62,EUR,Autem sint autem et.
Jos,BE69771770897312,BE68248892950133,Wed Feb 19 17:55:49 CET 2020,-3255.39,EUR,Cupiditate rerum accusamus quis.
Jos,BE69771770897312,BE17180273283413,Sun Feb 16 23:15:38 CET 2020,-4275.88,EUR,Sunt veritatis ut accusantium neque repudiandae et.
Jos,BE69771770897312,BE10612145025733,Sat Feb 15 17:48:20 CET 2020,-3695.84,EUR,Non ut error maiores nihil deserunt dolores.
Jos,BE69771770897312,BE64536348367184,Sun Feb 23 01:53:44 CET 2020,-1364.14,EUR,Quia vero est nam.
Jos,BE69771770897312,BE95531426195619,Fri Jan 31 12:49:58 CET 2020,-4804.54,EUR,Voluptates sit sed eveniet optio doloremque omnis voluptatem.
Jos,BE69771770897312,BE18064954983357,Fri Feb 14 08:03:23 CET 2020,-4612.65,EUR,Sunt repellat in fugit quia iste quasi.
Jos,BE69771770897312,BE74890692069327,Sun Feb 09 04:26:11 CET 2020,-4043.37,EUR,Est enim omnis molestias.
Jos,BE69771770897312,BE14355592772237,Sat Feb 01 23:56:57 CET 2020,243.37,EUR,Inventore dolor sapiente modi cupiditate harum quia non.
Jos,BE69771770897312,BE64686822103391,Sat Feb 22 06:38:44 CET 2020,635.76,EUR,Nostrum nostrum consequatur et quisquam.
Jos,BE69771770897312,BE78080946770101,Thu Feb 20 15:50:18 CET 2020,-3431.17,EUR,Nobis quis vel placeat voluptatibus occaecati quaerat magni.
Jos,BE69771770897312,BE82078716724218,Sun Feb 16 19:24:14 CET 2020,-3861.78,EUR,Rerum corporis autem.
